Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
M3_serum;30;0.5;0.001;
M3_serum;30;1;0.009;
M3_serum;30;1.5;0.011;
M3_serum;30;2;0.011;
M3_serum;30;2.5;0.014;
M3_serum;30;3;0.022;
M3_serum;30;5;0.024;
M3_serum;30;7;0.041;
M3_serum;30;9;0.065;
M3_serum;30;12;0.049;
M1_urine;2;0;0;
M1_urine;2;0.5;NaN;
M1_urine;2;1;NaN;
M1_urine;2;1.5;NaN;
M1_urine;2;2;NaN;
M1_urine;2;2.5;NaN;
M1_urine;2;3;0.272;
M1_urine;2;5;0.643;
M1_urine;2;7;0.88;
M1_urine;2;9;1.234;
M1_urine;2;12;0.912;
M3_urine;2;0;0.006;
M3_urine;2;0.5;NaN;
M3_urine;2;1;NaN;
M3_urine;2;1.5;NaN;
M3_urine;2;2;NaN;
M3_urine;2;2.5;NaN;
M3_urine;2;3;0.172;
M3_urine;2;5;1.048;
M3_urine;2;7;1.889;
M3_urine;2;9;3.018;
M3_urine;2;12;3.072;
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;2.5;NaN;
P_si1;0.3;3;4.852;
P_si1;0.3;5;0.814;
P_si1;0.3;7;6.491;
P_si1;0.3;9;1.139;
P_si1;0.3;12;0.189;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;2.5;NaN;
P_si2;0.3;3;3.413;
P_si2;0.3;5;1.287;
P_si2;0.3;7;0.784;
P_si2;0.3;9;0.804;
P_si2;0.3;12;0.407;
P_si3;0.3;0;0.005;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;2.5;NaN;
P_si3;0.3;3;2.677;
